iter	Accuracy	Logloss
129	0.9407514451	0.3081926339
130	0.9407514451	0.3071490294
131	0.9421965318	0.3049570602
132	0.9421965318	0.3037913616
133	0.9421965318	0.3026797217
134	0.9436416185	0.3013689601
135	0.9421965318	0.3005210786
136	0.9436416185	0.2993899388
137	0.9436416185	0.2985385969
138	0.9421965318	0.2972804116
139	0.9436416185	0.296036751
140	0.9436416185	0.295170577
141	0.9450867052	0.2940148373
142	0.9450867052	0.2930165938
143	0.9436416185	0.2920513883
144	0.9465317919	0.2913275672
145	0.9465317919	0.2901583065
146	0.9465317919	0.2891778026
147	0.9465317919	0.2880146023
148	0.9479768786	0.2872180113
149	0.9479768786	0.2864584846
150	0.9465317919	0.2856449918
151	0.9465317919	0.2846031546
152	0.9479768786	0.2835463885
153	0.950867052	0.2828107974
154	0.9494219653	0.2821282045
155	0.9494219653	0.281084657
156	0.9479768786	0.2805579298
157	0.9479768786	0.2791523221
158	0.9494219653	0.2778426826
159	0.9494219653	0.2766034109
160	0.9494219653	0.2745784149
161	0.950867052	0.2735621991
162	0.950867052	0.2725906329
163	0.950867052	0.2718078227
164	0.950867052	0.2710186425
165	0.950867052	0.2701735172
166	0.950867052	0.2695695175
167	0.950867052	0.2688295695
168	0.950867052	0.267756627
169	0.950867052	0.2672546032
170	0.950867052	0.2662160789
171	0.9523121387	0.2655202517
172	0.9537572254	0.264793929
173	0.9537572254	0.2634631773
174	0.9537572254	0.2627237158
175	0.9537572254	0.2622387592
176	0.9537572254	0.2613214594
177	0.9537572254	0.2603367834
178	0.9537572254	0.2592654533
179	0.9537572254	0.258940067
180	0.9537572254	0.2582379294
181	0.9537572254	0.2570356497
182	0.9537572254	0.2561013801
183	0.9537572254	0.2549958458
184	0.9537572254	0.2541026194
185	0.9537572254	0.2535567795
186	0.9537572254	0.2526776285
187	0.9537572254	0.2514134021
188	0.9537572254	0.2504894067
189	0.9552023121	0.2492984461
190	0.9552023121	0.2485839517
191	0.9552023121	0.2479888299
192	0.9552023121	0.2473926264
193	0.9552023121	0.2464978241
194	0.9552023121	0.2457775642
195	0.9552023121	0.2449712654
196	0.9552023121	0.2443145542
197	0.9552023121	0.2437447326
198	0.9552023121	0.2432038622
199	0.9552023121	0.2426879344
200	0.9552023121	0.2418222021
201	0.9552023121	0.2412858517
202	0.9552023121	0.2407684714
203	0.9552023121	0.2399152018
204	0.9537572254	0.2393567723
205	0.9537572254	0.2379263377
206	0.9537572254	0.2373025334
207	0.9537572254	0.2365302102
208	0.9566473988	0.2357644752
209	0.9566473988	0.2352728738
210	0.9552023121	0.2344457972
211	0.9580924855	0.2336860454
212	0.9580924855	0.232524864
213	0.9595375723	0.2317540539
214	0.9595375723	0.23110674
215	0.9595375723	0.2304159186
216	0.9580924855	0.2293505051
217	0.9566473988	0.2288739051
218	0.9580924855	0.227910345
219	0.960982659	0.2273090284
220	0.960982659	0.2264528546
221	0.960982659	0.225826588
222	0.960982659	0.2253402211
223	0.9624277457	0.2243211974
224	0.9638728324	0.223824919
225	0.9638728324	0.2233331888
226	0.9638728324	0.2225260642
227	0.9638728324	0.2218531327
228	0.9638728324	0.2214467355
229	0.9638728324	0.2209277487
230	0.9653179191	0.2204789242
231	0.9653179191	0.2194423379
232	0.9653179191	0.2187696028
233	0.9653179191	0.2182163964
234	0.9653179191	0.2177386173
235	0.9653179191	0.2170035057
236	0.9653179191	0.2164648793
237	0.9653179191	0.2157329568
238	0.9653179191	0.2152780163
239	0.9653179191	0.2146656349
240	0.9667630058	0.2141347292
241	0.9667630058	0.2134391892
242	0.9667630058	0.2126419062
243	0.9667630058	0.2118669531
244	0.9667630058	0.2112307872
245	0.9667630058	0.2105077259
246	0.9667630058	0.2099667994
247	0.9667630058	0.2092943062
248	0.9667630058	0.2086777689
249	0.9667630058	0.208154878
250	0.9682080925	0.2074218659
251	0.9667630058	0.2068815211
252	0.9682080925	0.206034489
253	0.9696531792	0.2055161672
254	0.9710982659	0.2051285059
255	0.9710982659	0.2044000887
256	0.9725433526	0.2040581327
257	0.9725433526	0.2037361661
258	0.9725433526	0.2031664006
259	0.9725433526	0.2024007027
260	0.9725433526	0.2020139719
261	0.9725433526	0.2016068999
262	0.9739884393	0.201150487
263	0.9739884393	0.200367752
264	0.9739884393	0.1998714794
265	0.975433526	0.1994736151
266	0.975433526	0.1991723122
267	0.9783236994	0.1986250733
268	0.9783236994	0.1977128116
269	0.975433526	0.1971414915
270	0.9783236994	0.1965565695
271	0.9797687861	0.1959080189
272	0.9812138728	0.1954355998
273	0.9812138728	0.1948346098
274	0.9812138728	0.1941479349
275	0.9826589595	0.1936554455
276	0.9826589595	0.192857326
277	0.9841040462	0.1921605413
278	0.9826589595	0.1917113683
279	0.9812138728	0.1910552049
280	0.9812138728	0.1907359955
281	0.9826589595	0.1902887641
282	0.9841040462	0.1896246041
283	0.9855491329	0.1890890411
284	0.9855491329	0.1885442995
285	0.9884393064	0.1877630994
286	0.9884393064	0.1874200758
287	0.9869942197	0.1870197629
288	0.9869942197	0.1867722951
289	0.9869942197	0.1863481262
290	0.9898843931	0.1859878427
291	0.9898843931	0.1856184374
292	0.9913294798	0.1851203067
293	0.9913294798	0.1843222646
294	0.9913294798	0.1840631035
295	0.9913294798	0.1834168107
296	0.9913294798	0.1829323104
297	0.9913294798	0.1824623318
298	0.9927745665	0.1815695486
299	0.9927745665	0.1810259973
300	0.9927745665	0.1806088357
301	0.9927745665	0.1799879891
302	0.9927745665	0.1795172967
303	0.9927745665	0.1790020726
304	0.9927745665	0.1786121417
305	0.9927745665	0.1780438067
306	0.9927745665	0.1777352121
307	0.9927745665	0.1773460991
308	0.9927745665	0.1770224117
309	0.9927745665	0.1763653784
310	0.9927745665	0.1760460553
311	0.9927745665	0.1754741988
312	0.9927745665	0.1750890907
313	0.9927745665	0.1746370626
314	0.9927745665	0.1741568599
315	0.9927745665	0.1738032334
316	0.9927745665	0.1732719644
317	0.9927745665	0.1729513329
318	0.9927745665	0.1724458902
319	0.9927745665	0.1719881023
320	0.9927745665	0.1716038831
321	0.9927745665	0.1711868052
322	0.9927745665	0.1707546948
323	0.9927745665	0.1704803573
324	0.9927745665	0.1695362704
325	0.9927745665	0.1690577068
326	0.9927745665	0.1687195526
327	0.9927745665	0.1680607828
328	0.9927745665	0.167674695
329	0.9927745665	0.1670894797
330	0.9927745665	0.1663337584
331	0.9927745665	0.1658411723
332	0.9927745665	0.1654693536
333	0.9927745665	0.1650572624
334	0.9927745665	0.1646717244
335	0.9927745665	0.1644408273
336	0.9927745665	0.1640361317
337	0.9927745665	0.163426713
338	0.9927745665	0.1630414368
339	0.9927745665	0.1627680375
340	0.9927745665	0.1619447359
341	0.9927745665	0.1613077952
342	0.9927745665	0.1608378002
343	0.9927745665	0.1604731303
344	0.9927745665	0.1600166145
345	0.9927745665	0.1595523403
346	0.9927745665	0.1591069852
347	0.9927745665	0.1585867391
348	0.9927745665	0.1578916583
349	0.9927745665	0.1575259385
350	0.9927745665	0.1570178601
351	0.9927745665	0.1566331355
352	0.9927745665	0.1561423236
353	0.9927745665	0.1553390354
354	0.9927745665	0.1549738504
355	0.9927745665	0.154606711
356	0.9927745665	0.1540758764
357	0.9927745665	0.1537836771
358	0.9927745665	0.1535847616
359	0.9927745665	0.1531235742
360	0.9927745665	0.1527118639
361	0.9927745665	0.152474765
362	0.9927745665	0.1519225169
363	0.9927745665	0.1515916073
364	0.9927745665	0.1511967107
365	0.9927745665	0.1508539311
366	0.9927745665	0.1503291744
367	0.9927745665	0.150009792
368	0.9927745665	0.149340442
369	0.9927745665	0.1488654134
370	0.9927745665	0.14850253
371	0.9927745665	0.1480244294
372	0.9927745665	0.1477703921
373	0.9927745665	0.147306911
374	0.9927745665	0.1469266861
375	0.9927745665	0.1466023857
376	0.9927745665	0.146003554
377	0.9927745665	0.1455088917
378	0.9942196532	0.1450400651
379	0.9942196532	0.1446810996
380	0.9942196532	0.1441133613
381	0.9942196532	0.1436390707
382	0.9942196532	0.1432458735
383	0.9942196532	0.1428561622
384	0.9942196532	0.1422646173
385	0.9942196532	0.141906395
386	0.9942196532	0.1415953822
387	0.9942196532	0.1412401174
388	0.9942196532	0.1408272696
389	0.9942196532	0.1404457862
390	0.9942196532	0.140008861
391	0.9942196532	0.1395298778
392	0.9942196532	0.139196669
393	0.9942196532	0.1385906987
394	0.9942196532	0.1381915693
395	0.9942196532	0.1378350634
396	0.9942196532	0.1374804473
397	0.9942196532	0.1370167537
398	0.9942196532	0.1366386513
399	0.9942196532	0.1361972672
400	0.9942196532	0.135743972
401	0.9942196532	0.1354475873
402	0.9942196532	0.1351889394
403	0.9942196532	0.1347344537
404	0.9942196532	0.1345373537
405	0.9942196532	0.1339966735
406	0.9942196532	0.1336489911
407	0.9942196532	0.1332860073
408	0.9942196532	0.1330505325
409	0.9942196532	0.1327409549
410	0.9956647399	0.1323403578
411	0.9956647399	0.1320239402
412	0.9971098266	0.1314372917
413	0.9971098266	0.131126514
414	0.9971098266	0.1305875606
415	0.9971098266	0.130042039
416	0.9971098266	0.1296859656
417	0.9971098266	0.1292218447
418	0.9971098266	0.1284909484
419	0.9971098266	0.127880613
420	0.9971098266	0.1275623254
421	0.9971098266	0.1273089873
422	0.9971098266	0.1268992382
423	0.9971098266	0.1266344413
424	0.9971098266	0.1260489126
425	0.9971098266	0.1255952599
426	0.9971098266	0.1251048503
427	0.9971098266	0.1247046394
428	0.9971098266	0.1243662703
429	0.9971098266	0.1240994621
430	0.9971098266	0.1237230554
431	0.9971098266	0.1232452116
432	0.9971098266	0.1228920771
433	0.9971098266	0.1226906015
434	0.9971098266	0.1220246635
435	0.9971098266	0.1217841879
436	0.9971098266	0.1215801149
437	0.9971098266	0.1213803073
438	0.9971098266	0.1210413396
439	0.9971098266	0.1207138472
440	0.9971098266	0.1205273516
441	0.9971098266	0.1201720688
442	0.9971098266	0.1197314432
443	0.9971098266	0.1192147559
444	0.9971098266	0.1188510633
445	0.9971098266	0.1186684725
446	0.9971098266	0.1182807386
447	0.9971098266	0.1178971787
448	0.9971098266	0.1173797587
449	0.9971098266	0.1170294528
450	0.9971098266	0.1167255726
451	0.9971098266	0.1162801909
452	0.9971098266	0.1159670817
453	0.9971098266	0.1156250285
454	0.9971098266	0.1153747277
455	0.9971098266	0.1149448103
456	0.9971098266	0.1145848253
457	0.9971098266	0.1140751477
458	0.9971098266	0.1136905754
459	0.9971098266	0.1133074362
460	0.9971098266	0.1131099751
461	0.9971098266	0.1126430638
462	0.9971098266	0.1122274569
463	0.9971098266	0.1116802975
464	0.9971098266	0.1113473543
465	0.9971098266	0.1110965586
466	0.9971098266	0.1106683621
467	0.9971098266	0.1103480606
468	0.9971098266	0.1101543696
469	0.9971098266	0.1097237746
470	0.9971098266	0.1094155243
471	0.9971098266	0.1090475931
472	0.9971098266	0.1086801636
473	0.9971098266	0.1082671172
474	0.9971098266	0.108023474
475	0.9971098266	0.1077161012
476	0.9971098266	0.107407166
477	0.9971098266	0.107198124
478	0.9971098266	0.1067676752
479	0.9971098266	0.1065835822
480	0.9971098266	0.1060731199
481	0.9971098266	0.1056850293
482	0.9971098266	0.1052624347
483	0.9971098266	0.1049878503
484	0.9971098266	0.104561846
485	0.9971098266	0.1042231225
486	0.9971098266	0.1039103158
487	0.9971098266	0.1037403299
488	0.9971098266	0.1034390688
489	0.9971098266	0.1032035684
490	0.9971098266	0.1027834672
491	0.9971098266	0.1024849865
492	0.9971098266	0.1022083578
493	0.9971098266	0.1018895429
494	0.9971098266	0.1015817756
495	0.9971098266	0.1014567715
496	0.9971098266	0.1011939865
497	0.9971098266	0.1009324179
498	0.9971098266	0.1007657499
499	0.9971098266	0.100518851
